TOTAL B,PERCENT B,REGION TYPE,REGION,WEEK,YEAR,ILI AGE 25-49,ILI AGE 25-64,ILI AGE 50-64,TOTAL PATIENTS
78,2.654,Census Regions,New England,1,2018,205,323,118,37346
276,5.0689,Census Regions,Mid-Atlantic,1,2018,1595,2403,808,189924
291,2.2165,Census Regions,East North Central,1,2018,945,1518,573,87972
123,3.1394,Census Regions,West North Central,1,2018,412,618,206,35783
381,3.7805,Census Regions,South Atlantic,1,2018,2682,3966,1284,189317
118,3.3542,Census Regions,East South Central,1,2018,2210,3281,1071,74672
463,5.1262,Census Regions,West South Central,1,2018,3198,4626,1428,86077
281,4.9858,Census Regions,Mountain,1,2018,850,1438,588,93780
524,6.8757,Census Regions,Pacific,1,2018,1273,2065,792,84931
105,3.3827,Census Regions,New England,2,2018,257,392,135,52623
370,5.5381,Census Regions,Mid-Atlantic,2,2018,1915,2861,946,209411
351,2.4072,Census Regions,East North Central,2,2018,1070,1702,632,104378
171,3.7757,Census Regions,West North Central,2,2018,388,589,201,41709
552,4.4765,Census Regions,South Atlantic,2,2018,3722,5520,1798,223352
120,3.0219,Census Regions,East South Central,2,2018,2545,3683,1138,79609
648,6.796,Census Regions,West South Central,2,2018,3445,5067,1622,101307
302,5.0671,Census Regions,Mountain,2,2018,802,1347,545,107735
627,8.2674,Census Regions,Pacific,2,2018,1256,2030,774,106728
140,4.0498,Census Regions,New England,3,2018,321,503,182,51900
537,7.5698,Census Regions,Mid-Atlantic,3,2018,2378,3668,1290,208608
462,3.088,Census Regions,East North Central,3,2018,1023,1571,548,102061
175,3.8958,Census Regions,West North Central,3,2018,473,698,225,43920
719,5.3204,Census Regions,South Atlantic,3,2018,4497,6506,2009,211588
154,4.2541,Census Regions,East South Central,3,2018,2538,3419,881,74837
813,8.7579,Census Regions,West South Central,3,2018,2897,4187,1290,94551
358,6.0729,Census Regions,Mountain,3,2018,772,1265,493,102849
547,8.0347,Census Regions,Pacific,3,2018,1074,1692,618,102065
262,5.6895,Census Regions,New England,4,2018,426,666,240,59528
953,9.8217,Census Regions,Mid-Atlantic,4,2018,3234,4879,1645,231661
651,3.9097,Census Regions,East North Central,4,2018,1047,1664,617,114989
223,4.4422,Census Regions,West North Central,4,2018,538,783,245,46717
714,4.2424,Census Regions,South Atlantic,4,2018,5911,8599,2688,240586
187,4.976,Census Regions,East South Central,4,2018,2353,3356,1003,87226
1256,12.4037,Census Regions,West South Central,4,2018,3024,4398,1374,106664
516,7.8563,Census Regions,Mountain,4,2018,807,1330,523,105710
588,8.3274,Census Regions,Pacific,4,2018,1009,1599,590,105917
348,6.6859,Census Regions,New England,5,2018,556,822,266,59990
1161,10.753,Census Regions,Mid-Atlantic,5,2018,3564,5326,1762,228663
769,4.7358,Census Regions,East North Central,5,2018,1010,1617,607,111431
358,6.7585,Census Regions,West North Central,5,2018,630,959,329,52493
1117,6.7464,Census Regions,South Atlantic,5,2018,6524,9245,2721,242512
204,5.8302,Census Regions,East South Central,5,2018,2225,3187,962,86030
1635,15.5611,Census Regions,West South Central,5,2018,2726,3909,1183,107211
685,9.9782,Census Regions,Mountain,5,2018,928,1477,549,107635
638,9.4912,Census Regions,Pacific,5,2018,932,1482,550,108124
515,9.2626,Census Regions,New England,6,2018,549,816,267,62045
1382,12.3096,Census Regions,Mid-Atlantic,6,2018,4104,5964,1860,233283
920,5.7986,Census Regions,East North Central,6,2018,1034,1614,580,105274
458,9.1802,Census Regions,West North Central,6,2018,622,898,276,48318
1385,8.1938,Census Regions,South Atlantic,6,2018,6714,9483,2769,250083
325,8.6829,Census Regions,East South Central,6,2018,2114,2932,818,86285
1566,15.9227,Census Regions,West South Central,6,2018,2486,3571,1085,106479
659,10.0549,Census Regions,Mountain,6,2018,989,1564,575,124101
648,9.6515,Census Regions,Pacific,6,2018,893,1284,391,109397
604,10.6077,Census Regions,New England,7,2018,487,766,279,63297
1444,12.8162,Census Regions,Mid-Atlantic,7,2018,3954,5803,1849,220130
1220,8.1901,Census Regions,East North Central,7,2018,926,1465,539,109213
554,11.1469,Census Regions,West North Central,7,2018,615,899,284,48798
1214,8.9101,Census Regions,South Atlantic,7,2018,5743,8274,2531,239810
294,8.6624,Census Regions,East South Central,7,2018,1434,2038,604,84592
1611,18.1235,Census Regions,West South Central,7,2018,2089,3045,956,102160
673,10.986,Census Regions,Mountain,7,2018,1142,1732,590,139598
596,9.7513,Census Regions,Pacific,7,2018,773,1211,438,104000
513,10.7955,Census Regions,New England,8,2018,505,707,202,54681
1110,12.9476,Census Regions,Mid-Atlantic,8,2018,2776,4174,1398,207303
1298,10.1629,Census Regions,East North Central,8,2018,711,1133,422,105081
519,11.7103,Census Regions,West North Central,8,2018,473,726,253,45747
767,7.7758,Census Regions,South Atlantic,8,2018,3725,5246,1521,220371
183,7.5464,Census Regions,East South Central,8,2018,1124,1575,451,73755
945,14.1764,Census Regions,West South Central,8,2018,1522,2192,670,98257
514,9.94,Census Regions,Mountain,8,2018,867,1356,489,123490
551,10.2435,Census Regions,Pacific,8,2018,725,1127,402,95004
355,9.4591,Census Regions,New England,9,2018,313,467,154,55123
548,9.0072,Census Regions,Mid-Atlantic,9,2018,1791,2619,828,191082
977,9.5963,Census Regions,East North Central,9,2018,456,762,306,105025
495,13.2993,Census Regions,West North Central,9,2018,381,581,200,45770
474,6.184,Census Regions,South Atlantic,9,2018,2307,3274,967,209462
100,5.618,Census Regions,East South Central,9,2018,649,939,290,69167
573,11.2419,Census Regions,West South Central,9,2018,1019,1508,489,94420
501,10.1008,Census Regions,Mountain,9,2018,780,1199,419,139911
536,10.2154,Census Regions,Pacific,9,2018,749,1177,428,101685
256,8.4155,Census Regions,New England,10,2018,227,344,117,50419
341,7.1458,Census Regions,Mid-Atlantic,10,2018,1278,1891,613,186845
857,10.1504,Census Regions,East North Central,10,2018,460,742,282,104892
385,12.1413,Census Regions,West North Central,10,2018,320,463,143,40220
367,5.5809,Census Regions,South Atlantic,10,2018,1820,2525,705,203613
75,4.886,Census Regions,East South Central,10,2018,465,689,224,67920
284,6.9659,Census Regions,West South Central,10,2018,790,1124,334,88630
421,9.667,Census Regions,Mountain,10,2018,483,862,379,122828
548,10.9447,Census Regions,Pacific,10,2018,640,982,342,100594
202,8.2415,Census Regions,New England,11,2018,173,289,116,43675
324,7.4244,Census Regions,Mid-Atlantic,11,2018,1116,1677,561,191296
975,12.1677,Census Regions,East North Central,11,2018,429,677,248,97563
296,11.2934,Census Regions,West North Central,11,2018,243,372,129,39329
399,6.3657,Census Regions,South Atlantic,11,2018,1762,2473,711,205687
71,5.1153,Census Regions,East South Central,11,2018,433,618,185,68185
180,5.6391,Census Regions,West South Central,11,2018,692,955,263,86245
385,9.9922,Census Regions,Mountain,11,2018,418,701,283,116090
552,11.8863,Census Regions,Pacific,11,2018,659,976,317,98683
184,7.7149,Census Regions,New England,12,2018,163,260,97,54108
292,7.2818,Census Regions,Mid-Atlantic,12,2018,1111,1573,462,189982
1147,14.5521,Census Regions,East North Central,12,2018,400,625,225,98989
223,9.5544,Census Regions,West North Central,12,2018,176,274,98,38494
422,7.301,Census Regions,South Atlantic,12,2018,1574,2226,652,204154
68,5.5738,Census Regions,East South Central,12,2018,409,563,154,66535
122,4.6851,Census Regions,West South Central,12,2018,554,827,273,90463
261,8.2647,Census Regions,Mountain,12,2018,412,663,251,118396
384,9.4372,Census Regions,Pacific,12,2018,607,958,351,96259
201,9.6821,Census Regions,New England,13,2018,170,298,128,55756
319,8.2578,Census Regions,Mid-Atlantic,13,2018,1014,1497,483,190606
1211,15.6865,Census Regions,East North Central,13,2018,356,584,228,83145
185,8.8602,Census Regions,West North Central,13,2018,163,252,89,38720
391,7.5658,Census Regions,South Atlantic,13,2018,1306,1870,564,176265
60,5.1151,Census Regions,East South Central,13,2018,367,504,137,65639
56,2.4801,Census Regions,West South Central,13,2018,489,704,215,85913
180,6.7214,Census Regions,Mountain,13,2018,291,462,171,91170
324,8.8913,Census Regions,Pacific,13,2018,564,844,280,87536
224,10.79,Census Regions,New England,14,2018,161,246,85,54732
258,8.0349,Census Regions,Mid-Atlantic,14,2018,972,1447,475,198813
897,12.8161,Census Regions,East North Central,14,2018,345,543,198,93172
152,8.3015,Census Regions,West North Central,14,2018,127,177,50,33655
346,7.3508,Census Regions,South Atlantic,14,2018,1288,1882,594,197864
36,3.2403,Census Regions,East South Central,14,2018,307,450,143,67467
53,2.7124,Census Regions,West South Central,14,2018,425,585,160,80090
116,5.0567,Census Regions,Mountain,14,2018,369,587,218,121985
255,8.0798,Census Regions,Pacific,14,2018,458,693,235,90071
197,10.2658,Census Regions,New England,15,2018,158,251,93,56904
146,5.2106,Census Regions,Mid-Atlantic,15,2018,785,1184,399,195504
862,13.1182,Census Regions,East North Central,15,2018,316,525,209,97140
96,5.5846,Census Regions,West North Central,15,2018,128,181,53,37146
308,6.7426,Census Regions,South Atlantic,15,2018,1029,1524,495,199368
28,2.9946,Census Regions,East South Central,15,2018,311,407,96,67766
39,2.1727,Census Regions,West South Central,15,2018,363,518,155,79660
73,3.3641,Census Regions,Mountain,15,2018,218,347,129,93214
168,6.5293,Census Regions,Pacific,15,2018,441,630,189,96339
153,9.2503,Census Regions,New England,16,2018,134,220,86,48582
91,3.5616,Census Regions,Mid-Atlantic,16,2018,664,920,256,189778
648,11.8162,Census Regions,East North Central,16,2018,221,364,143,92828
105,6.5625,Census Regions,West North Central,16,2018,70,96,26,32307
219,5.2873,Census Regions,South Atlantic,16,2018,836,1179,343,199390
24,2.6608,Census Regions,East South Central,16,2018,240,335,95,71038
26,1.5569,Census Regions,West South Central,16,2018,447,615,168,90541
63,3.5979,Census Regions,Mountain,16,2018,262,407,145,117855
95,5.5072,Census Regions,Pacific,16,2018,342,512,170,94531
101,7.0877,Census Regions,New England,17,2018,126,174,48,53477
90,3.9595,Census Regions,Mid-Atlantic,17,2018,625,935,310,197225
450,9.5867,Census Regions,East North Central,17,2018,230,350,120,89302
69,4.8798,Census Regions,West North Central,17,2018,65,98,33,31469
204,5.2187,Census Regions,South Atlantic,17,2018,725,1016,291,196410
14,1.7435,Census Regions,East South Central,17,2018,257,351,94,70228
17,1.114,Census Regions,West South Central,17,2018,402,586,184,89550
53,3.6054,Census Regions,Mountain,17,2018,311,457,146,122726
76,4.1896,Census Regions,Pacific,17,2018,289,436,147,95372
50,4.5704,Census Regions,New England,18,2018,97,161,64,52259
52,2.431,Census Regions,Mid-Atlantic,18,2018,515,794,279,197681
337,8.2477,Census Regions,East North Central,18,2018,172,280,108,85712
43,3.7165,Census Regions,West North Central,18,2018,38,64,26,31166
159,4.391,Census Regions,South Atlantic,18,2018,637,905,268,191768
13,1.7711,Census Regions,East South Central,18,2018,196,277,81,64118
11,0.8333,Census Regions,West South Central,18,2018,386,499,113,87551
32,2.2663,Census Regions,Mountain,18,2018,281,428,147,111316
27,1.7624,Census Regions,Pacific,18,2018,278,407,129,91755
20,2.3725,Census Regions,New England,19,2018,74,109,35,50460
50,2.5947,Census Regions,Mid-Atlantic,19,2018,496,729,233,203265
198,5.8048,Census Regions,East North Central,19,2018,167,241,74,82389
27,2.4215,Census Regions,West North Central,19,2018,28,42,14,29816
118,3.6956,Census Regions,South Atlantic,19,2018,408,565,157,168395
11,1.6058,Census Regions,East South Central,19,2018,166,229,63,63219
9,0.7475,Census Regions,West South Central,19,2018,336,469,133,86443
14,1.055,Census Regions,Mountain,19,2018,264,386,122,129658
20,1.5711,Census Regions,Pacific,19,2018,266,370,104,92223
10,1.3021,Census Regions,New England,20,2018,79,110,31,48130
21,1.2007,Census Regions,Mid-Atlantic,20,2018,517,728,211,190371
74,2.7935,Census Regions,East North Central,20,2018,146,220,74,85030
14,1.4941,Census Regions,West North Central,20,2018,36,48,12,28206
86,2.9054,Census Regions,South Atlantic,20,2018,500,685,185,197066
5,0.7825,Census Regions,East South Central,20,2018,168,226,58,65648
8,0.747,Census Regions,West South Central,20,2018,328,448,120,83621
